Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,"More Variant Images","Variant Price",Variant Compare-at Price,"Product Tax Class","Variant SKU","Variant Inventory",Requires Shipping,"Variant Weight",Variant Width,"Variant Height","Variant Length","Variant Download Name","Variant Download URL","Option1 Name","Option1 Value","Option2 Name","Option2 Value",Option3 Name,Option3 Value	
1579,Curls & Waves Shampoo Natulique 250ml,,"De Culs & Waves Shampoo biedt essentiële krulverzorging  met zachte reiniging, hydratie, en voeding.
\nGeschikt voor alle soorten krul of slag",Haircare,https://haaratelier-alkmaar.nl/wp-content/uploads/2023/05/WhatsAppImage2023-04-17at21.15.56.webp,,"31,50",,,,,,,,,,,,,,,,,
1581,Curls & Waves Conditioner Natulique 250ml,,"De Culs & Waves conditioner biedt essentiële krulverzorging  met zachte hydratie, en voeding.
\n
\nWerkt anti-frizz en geeft definitie aan je krul.
\n
\nDe curls & waves producten bestaan volledig uit plantaardige, natuurlijke en gecertificeerde biologische ingrediënten die bijdragen aan je algehele gezondheid en zorgen voor een gezonde en mooie krul en hoofdhuid.",Haircare,https://haaratelier-alkmaar.nl/wp-content/uploads/2023/05/WhatsAppImage2023-04-17at21.16.33-1.webp,,"31,50",,,,,,,,,,,,,,,,,
